CVE_ENT,CVE_MUN,CVE_AGEB,CVE_LOC,NOMLOC,NOMGEO,CVE_ENT_1,CVE_MUN_1
20,009,0022,0013,San José Mano Marqués,Santa María Jacatepec,20,417
12,019,0113,0080,El Guaje (El Portezuelo),Ahuacuotzingo,12,002
12,019,0113,0057,Zacualpa,Olinalá,12,045
12,045,026A,0234,Rancho Antonino García,Ahuacuotzingo,12,002
07,016,0110,0299,Cuauhtemoc Quemado,Palenque,07,065
12,019,0113,0022,Ciruelo Amarillo,Olinalá,12,045
12,006,0257,0082,Las Garzas,General Heliodoro Castillo,12,032
20,330,0018,0010,San José Despoblado,San Andrés Teotilálpam,20,098
12,006,0276,0070,Pueblo Nuevo Santa María,Cuetzala del Progreso,12,026
12,022,0509,0707,El Zarzal,Zihuatanejo de Azueta,12,038
12,068,0476,0158,El Ampotal,Coahuayutla de José María Izazaga,12,016
12,068,0476,0317,El Capire,Coahuayutla de José María Izazaga,12,016
12,068,0476,0320,Rancho la Higuerita,Coahuayutla de José María Izazaga,12,016
12,032,0346,0338,Monte Grande,Apaxtla,12,006
20,166,0024,0068,Roberto Olivares Arellano,Santa María Jacatepec,20,417
12,038,0369,0242,Mesas de Miramar,Coyuca de Catalán,12,022
12,038,0369,0310,El Pitero,Coyuca de Catalán,12,022
20,417,0011,0063,El Manantial,San Juan Bautista Tuxtepec,20,184
12,059,0316,0098,Tequitlalpan,Huitzuco de los Figueroa,12,034
20,098,0022,0021,Piedra Colorada,San Pedro Teutila,20,330
20,098,0022,0016,Aguacate,San Pedro Teutila,20,330
12,006,0257,0056,El Calguaje,San Miguel Totolapan,12,054
20,098,0037,0018,La Escalera,San Pedro Teutila,20,330
12,054,0305,0372,La Monera,Arcelia,12,007
12,003,0344,0229,Santa María Santa Fe,Coyuca de Catalán,12,022
12,019,0096,0074,El Establo,Atenango del Río,12,008
12,073,0546,0651,El Billete,Coyuca de Catalán,12,022
12,022,0509,0571,La Lagunita,Zirándaro,12,073
12,003,0310,0008,Cacahuananche,Coyuca de Catalán,12,022
20,041,0034,0124,Santa Catarina Buenavista,Huautepec,20,040
30,061,0596,1269,Cuauhtémoc Kilómetro 17,Moloacán,30,111
12,003,033A,0198,San Marcos Oriente,San Miguel Totolapan,12,054
12,073,0550,0698,Rancho de Dolores,Coyuca de Catalán,12,022
12,003,0310,0228,Palos Grandes,Coyuca de Catalán,12,022
12,054,0292,0315,El Crucero del Remance,Ajuchitlán del Progreso,12,003
12,073,0550,0367,Paso Ancho,Coyuca de Catalán,12,022
20,244,0018,0013,Inspectoría Independencia Guadalupe,San Antonio Nanahuatípam,20,109
12,006,0219,0085,Pata de Burro,Teloloapan,12,058
12,058,0465,0232,La Cañada del Durazno,Apaxtla,12,006
20,406,0041,0090,La Raya,Huautla de Jiménez,20,041
20,406,0041,0038,Zongolica,Huautla de Jiménez,20,041
12,035,0649,0037,El Tercer Mundo,Tepecoacuilco de Trujano,12,059
12,073,0508,0722,La Guajillera,Coyuca de Catalán,12,022
12,058,0408,0237,Puerto del Timón,Arcelia,12,007
12,035,0598,0197,Colonia Ernesto Che Guevara (La Che Guevara),Teloloapan,12,058
12,073,0508,0653,Las Juntas,Coyuca de Catalán,12,022
30,141,0137,0174,Vista Hermosa II,Hueyapan de Ocampo,30,073
12,058,0412,0297,Miahuatepec,Arcelia,12,007
12,058,0412,0264,Primera Cerca,General Canuto A. Neri,12,031
12,008,0143,0041,San Juan Teocalcingo,Huitzuco de los Figueroa,12,034
12,050,019A,0011,Placeritos,Cutzamala de Pinzón,12,027
12,035,0598,0005,Colonia el Carmen,Taxco de Alarcón,12,055
12,015,0097,0031,Los Sauces,Huitzuco de los Figueroa,12,034
12,047,0194,0003,Agua Colorada,Teloloapan,12,058
12,015,0097,0046,Las Enramadas,Huitzuco de los Figueroa,12,034
12,058,0380,0142,Puerto del Ocote,General Canuto A. Neri,12,031
12,058,0380,0324,Nueva Esperanza,General Canuto A. Neri,12,031
12,008,0143,0039,Agua Salada,Huitzuco de los Figueroa,12,034
12,008,0143,0040,Las Joyas,Huitzuco de los Figueroa,12,034
12,055,0406,0147,La Güera,Buenavista de Cuéllar,12,015
12,055,0340,0135,El Ancón,Ixcateopan de Cuauhtémoc,12,037
12,055,0340,0078,Los Naranjos,Ixcateopan de Cuauhtémoc,12,037
12,055,0355,0203,San Francisco,Tetipac,12,060
12,055,036A,0204,El Huixteco,Tetipac,12,060
12,049,0165,0048,La Poza (El Puente),Taxco de Alarcón,12,055
30,171,0013,0004,Atzingo,Mixtla de Altamirano,30,110
12,060,0162,0034,Bordo Mora,Pilcaya,12,049
17,026,0036,0059,Colonia el Partidor (El Capulín),Yautepec,17,029
17,026,0036,0008,Las Vivianas,Yautepec,17,029
15,097,0081,0051,Las Lágrimas,Temascaltepec,15,086
15,078,0067,0042,Frontón Vivero,Valle de Bravo,15,110
15,087,0155,0040,Llano de la Y,Otzolotepec,15,067
15,074,0195,0126,Ejido del Tunal Nenaxi,Jocotitlán,15,048
30,009,0030,0238,Arroyo Agrio,Actopan,30,004
30,010,0012,0047,Colonia Ejidal Guadalupe Victoria,Tenochtitlán,30,163
31,056,0158,0149,Huntochac,Tekax,31,079
31,098,0177,0039,Xcobiakal (Xcobilakal),Peto,31,058
30,069,0024,0019,Paguas de Coronado,Papantla,30,124
31,094,0055,0005,Chicán,Teabo,31,075
31,092,0101,0004,Ekpedz,Chikindzonot,31,022
30,058,0088,0339,Lindero Achupil,Benito Juárez,30,027
31,081,0057,0011,X-Cocmil,Chikindzonot,31,022
31,048,018A,0018,Santa Cruz,Opichén,31,055
31,017,008A,0083,Muchucuxcáh,Tekom,31,081
31,048,018A,0010,Kanachén,Kopomá,31,045
31,014,0035,0040,X-Akabchén,Chankom,31,017
31,017,0075,0014,X-Bohom,Kaua,31,043
31,101,0155,0013,San Antonio Mulix,Chocholá,31,023
31,102,0222,0631,Bolmay,Chemax,31,019
31,076,0076,0011,Sotuta de Peón,Mérida,31,050
30,063,0069,0048,Tamalcuatitla,Ixcatepec,30,078
31,102,0186,0655,Santa Eleuteria,Cuncunul,31,014
31,030,0096,0076,Yaxché,Tinum,31,091
31,067,0043,0046,Holactún,Tahmek,31,074
31,102,0171,0149,X-Cohuó,Chemax,31,019
31,009,0069,0003,San Antonio Xiat,Suma,31,072
